Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex	Wing.length..mm.
ARS 525	Amazon	Amazonas	-2.864	ARS	8	A	2	F	2.892
ARS 531	Amazon	Amazonas	-2.864	ARS	8	B	1	F	2.64
ARS 533	Amazon	Amazonas	-2.864	ARS	8	B	1	F	2.746
ARS 537	Amazon	Amazonas	-2.864	ARS	8	B	2	F	2.593
ARS 545	Amazon	Amazonas	-2.864	ARS	8	B	3	F	2.708
ARS 556	Amazon	Amazonas	-2.864	ARS	8	C	3	F	2.459
ARS 559	Amazon	Amazonas	-2.864	ARS	8	C	3	F	2.57
ARS 560	Amazon	Amazonas	-2.864	ARS	8	C	3	F	2.346
RMO 056	Amazon	Rondonia	-9.223	RMO	26	A	3	M	2.732
RMO 059	Amazon	Rondonia	-9.223	RMO	26	A	3	F	2.965
RMO 062	Amazon	Rondonia	-9.223	RMO	26	B	1	F	2.656
RMO 063	Amazon	Rondonia	-9.223	RMO	26	B	1	F	3.011
RMO 071	Amazon	Rondonia	-9.223	RMO	26	B	3	M	2.683
RMO 080	Amazon	Rondonia	-9.223	RMO	26	C	1	M	2.486
RMO 084	Amazon	Rondonia	-9.223	RMO	26	C	2	F	2.751
RMO 085	Amazon	Rondonia	-9.223	RMO	26	C	2	M	2.612
RMO 093	Amazon	Rondonia	-9.223	RMO	33	A	1	M	2.834
RMO 098	Amazon	Rondonia	-9.223	RMO	33	A	. 2	F	2.781
RMO 099	Amazon	Rondonia	-9.223	RMO	33	A	2	F	2.85
RMO 101	Amazon	Rondonia	-9.223	RMO	33	A	3	M	2.709
RMO 106	Amazon	Rondonia	-9.223	RMO	33	B	1	M	2.708
RMO 114	Amazon	Rondonia	-9.223	RMO	33	B	2	M	2.795
RMO 118	Amazon	Rondonia	-9.223	RMO	33	B	3	F	2.496
RMO 122	Amazon	Rondonia	-9.223	RMO	33	C	1	F	2.376
RMO 148	Amazon	Rondonia	-9.223	RMO	39	A	3	F	2.624
RMO 171	Amazon	Rondonia	-9.223	RMO	39	C	2	F	2.548
RMO 178	Amazon	Rondonia	-9.223	RMO	39	C	3	F	2.392
RMO 181	Amazon	Rondonia	-9.223	RMO	41	A	1	F	2.881
RMO 187	Amazon	Rondonia	-9.223	RMO	41	A	2	F	2.896
RMO 192	Amazon	Rondonia	-9.223	RMO	41	A	3	M	2.703
RMO 194	Amazon	Rondonia	-9.223	RMO	41	A	3	M	2.62
RMO 197	Amazon	Rondonia	-9.223	RMO	41	B	1	M	2.566605836
RMO 198	Amazon	Rondonia	-9.223	RMO	41	B	1	M	2.773966318
RMO 199	Amazon	Rondonia	-9.223	RMO	41	B	1	M	2.734925705
RMO 205	Amazon	Rondonia	-9.223	RMO	41	B	2	F	2.623553374
RMO 211	Amazon	Rondonia	-9.223	RMO	41	C	1	M	2.701253257
RMO 216	Amazon	Rondonia	-9.223	RMO	41	C	2	M	2.46947039
RMO 217	Amazon	Rondonia	-9.223	RMO	41	C	2	F	2.557645856
RMO 219	Amazon	Rondonia	-9.223	RMO	41	C	2	M	2.747174379
RMO 221	Amazon	Rondonia	-9.223	RMO	41	C	3	M	2.512826396
RMO 226	Amazon	Rondonia	-9.223	RMO	6	A	1	M	2.969844075
RMO 227	Amazon	Rondonia	-9.223	RMO	6	A	1	F	2.823860601
RMO 231	Amazon	Rondonia	-9.223	RMO	6	A	2	F	2.775397177
RMO 233	Amazon	Rondonia	-9.223	RMO	6	A	2	M	2.800080311
RMO 241	Amazon	Rondonia	-9.223	RMO	6	B	1	F	2.721223355
RMO 247	Amazon	Rondonia	-9.223	RMO	6	B	2	F	2.684588149
RMO 258	Amazon	Rondonia	-9.223	RMO	6	C	1	F	2.61634041
RMO 266	Amazon	Rondonia	-9.223	RMO	6	C	3	F	2.454920607
RMO 273	Amazon	Rondonia	-9.223	RMO	18	A	1	M	2.955
RMO 284	Amazon	Rondonia	-9.223	RMO	18	A	3	F	2.83
RMO 286	Amazon	Rondonia	-9.223	RMO	18	B	1	M	2.753
RMO 288	Amazon	Rondonia	-9.223	RMO	18	B	1	F	2.74
RMO 308	Amazon	Rondonia	-9.223	RMO	18	C	2	F	2.528
RMO 311	Amazon	Rondonia	-9.223	RMO	18	C	3	M	2.504
RMO 312	Amazon	Rondonia	-9.223	RMO	18	C	3	M	2.497
RMO 316	Amazon	Rondonia	-9.223	RMO	24	A	1	M	2.755
RMO 322	Amazon	Rondonia	-9.223	RMO	24	A	2	F	2.916
RMO 324	Amazon	Rondonia	-9.223	RMO	24	A	2	F	2.972
RMO 327	Amazon	Rondonia	-9.223	RMO	24	A	3	M	2.871
RMO 328	Amazon	Rondonia	-9.223	RMO	24	A	3	F	2.866
RMO 331	Amazon	Rondonia	-9.223	RMO	24	B	1	M	2.75
RMO 333	Amazon	Rondonia	-9.223	RMO	24	B	1	M	2.747
RMO 335	Amazon	Rondonia	-9.223	RMO	24	B	1	M	3.038
RMO 336	Amazon	Rondonia	-9.223	RMO	24	B	2	F	2.561
RMO 338	Amazon	Rondonia	-9.223	RMO	24	B	2	M	2.686
RMO 341	Amazon	Rondonia	-9.223	RMO	24	B	3	M	2.781
RMO 344	Amazon	Rondonia	-9.223	RMO	24	B	3	F	2.632
RMO 345	Amazon	Rondonia	-9.223	RMO	24	B	3	M	2.871
RMO 348	Amazon	Rondonia	-9.223	RMO	24	C	1	F	2.473
RMO 364	Amazon	Rondonia	-9.223	RMO	27	A	1	M	2.818
RMO 368	Amazon	Rondonia	-9.223	RMO	27	A	2	M	2.72
RMO 369	Amazon	Rondonia	-9.223	RMO	27	A	2	F	2.627
RMO 391	Amazon	Rondonia	-9.223	RMO	27	C	1	F	2.531
RMO 396	Amazon	Rondonia	-9.223	RMO	27	C	2	F	2.389
RMO 403	Amazon	Rondonia	-9.223	RMO	27	C	3	M	2.591
RMO 404	Amazon	Rondonia	-9.223	RMO	27	C	3	M	2.348
RMO 411	Amazon	Rondonia	-9.223	RMO	28	A	2	M	2.687
RMO 413	Amazon	Rondonia	-9.223	RMO	28	A	2	M	2.734
RMO 414	Amazon	Rondonia	-9.223	RMO	28	A	2	M	2.825
RMO 417	Amazon	Rondonia	-9.223	RMO	28	A	3	F	2.667
RMO 423	Amazon	Rondonia	-9.223	RMO	28	B	1	M	2.426
RMO 432	Amazon	Rondonia	-9.223	RMO	28	B	3	F	2.409
RMO 442	Amazon	Rondonia	-9.223	RMO	28	C	2	M	2.595
RMO 449	Amazon	Rondonia	-9.223	RMO	28	C	3	F	2.546
RMO 458	Amazon	Rondonia	-9.223	RMO	30	A	2	M	2.85
RMO 459	Amazon	Rondonia	-9.223	RMO	30	A	2	F	2.608
RMO 472	Amazon	Rondonia	-9.223	RMO	30	B	2	M	2.615
RMO 475	Amazon	Rondonia	-9.223	RMO	30	B	2	M	2.705
RMO 476	Amazon	Rondonia	-9.223	RMO	30	B	3	M	2.615
RMO 491	Amazon	Rondonia	-9.223	RMO	30	C	3	M	2.591
RMO 499	Amazon	Rondonia	-9.223	RMO	36	A	1	F	2.9
RMO 501	Amazon	Rondonia	-9.223	RMO	36	A	2	M	2.607
RMO 503	Amazon	Rondonia	-9.223	RMO	36	A	2	F	2.576
RMO 504	Amazon	Rondonia	-9.223	RMO	36	A	2	M	2.565
RMO 505	Amazon	Rondonia	-9.223	RMO	36	A	2	F	2.682
RMO 507	Amazon	Rondonia	-9.223	RMO	36	A	3	F	2.739
RMO 513	Amazon	Rondonia	-9.223	RMO	36	B	1	F	2.59
RMO 518	Amazon	Rondonia	-9.223	RMO	36	B	2	M	2.444
RMO 520	Amazon	Rondonia	-9.223	RMO	36	B	2	F	2.664
RMO 521	Amazon	Rondonia	-9.223	RMO	36	B	3	M	2.562
RMO 536	Amazon	Rondonia	-9.223	RMO	36	C	3	M	2.627
RMO 537	Amazon	Rondonia	-9.223	RMO	36	C	3	F	2.496
RMO 538	Amazon	Rondonia	-9.223	RMO	36	C	3	F	2.423
RMO 539	Amazon	Rondonia	-9.223	RMO	36	C	3	M	2.772
RMO 541	Amazon	Rondonia	-9.223	RMO	42	A	1	M	2.813
RMO 542	Amazon	Rondonia	-9.223	RMO	42	A	1	F	2.657
RMO 543	Amazon	Rondonia	-9.223	RMO	42	A	1	F	2.594
RMO 546	Amazon	Rondonia	-9.223	RMO	42	A	2	M	2.941
RMO 554	Amazon	Rondonia	-9.223	RMO	42	A	3	F	2.801
RMO 557	Amazon	Rondonia	-9.223	RMO	42	B	1	F	2.602
RMO 561	Amazon	Rondonia	-9.223	RMO	42	B	2	F	2.717
RMO 562	Amazon	Rondonia	-9.223	RMO	42	B	2	M	2.621
RMO 571	Amazon	Rondonia	-9.223	RMO	42	C	1	F	2.521
RMO 573	Amazon	Rondonia	-9.223	RMO	42	C	1	F	2.556
