Code,Latitude,Family,Temp Num,Well,Sex num f0,Wing.length..mm.,CS 13 from MOG unscaled,CS scaled 13,CS 18 from MOG,CS 18 scaled,,
ARS 459,-2.864,13,28,1,0,2.614,764.25,2.4966959,667.86,2.181803499,,
ARS 462,-2.864,13,28,2,0,2.269,796.81,2.603064783,705,2.303134589,,
ARS 470,-2.864,13,28,3,0,2.4,855.08,2.793424574,712.94,2.329073438,,
ARS 516,-2.864,8,20,1,1,2.709,882.51,2.883034477,749.69,2.449130454,,
ARS 521,-2.864,8,20,2,1,2.744,883.74,2.887052712,750.03,2.450241186,,
ARS 523,-2.864,8,20,2,0,2.703,891.08,2.911031446,788.9,2.577223939,,
ARS 524,-2.864,8,20,2,0,2.653,876,2.861767234,765.28,2.500060764,,
ARS 525,-2.864,8,20,2,0,2.892,954.91,3.119554965,848.34,2.771405954,,
ARS 531,-2.864,8,24,1,0,2.64,875.91,2.861473217,762.74,2.491762945,,
ARS 533,-2.864,8,24,1,0,2.746,913.82,2.985319787,795.61,2.599144554,,
ARS 537,-2.864,8,24,2,0,2.593,864.97,2.825733795,762.17,2.489900836,,
ARS 545,-2.864,8,24,3,0,2.708,901.12,2.943830696,803.27,2.624168683,,
ARS 556,-2.864,8,28,3,0,2.459,820.1,2.679149896,734.54,2.399637562,,
ARS 559,-2.864,8,28,3,0,2.57,856.25,2.797246797,769.76,2.514696285,,
ARS 560,-2.864,8,28,3,0,2.346,780.27,2.549030959,675.06,2.205324873,,
RMO 056,-9.223,26,20,3,1,2.732,884.18,2.888490129,750.52,2.451841946,,
RMO 059,-9.223,26,20,3,0,2.965,984.23,3.215339229,869.6,2.840859346,,
RMO 062,-9.223,26,24,1,0,2.656,876.02,2.861832571,778.62,2.543640644,,
RMO 063,-9.223,26,24,1,0,3.011,994.36,3.248432496,869.44,2.840336648,,
RMO 071,-9.223,26,24,3,1,2.683,860.38,2.810738919,726.01,2.371771267,,
RMO 080,-9.223,26,28,1,1,2.486,803.87,2.626128797,667.51,2.180660099,,
RMO 084,-9.223,26,28,2,0,2.751,893.45,2.918773899,746.3,2.438055807,,
RMO 085,-9.223,26,28,2,1,2.612,845.67,2.762683444,709.27,2.317084071,,
RMO 093,-9.223,33,20,1,1,2.834,919.99,3.005476299,781.42,2.552787845,,
RMO 098,-9.223,33,20,2,0,2.781,923.06,3.015505551,798.66,2.609108469,,
RMO 099,-9.223,33,20,2,0,2.85,953.52,3.115014033,849.1,2.773888765,,
RMO 101,-9.223,33,20,3,1,2.709,877.74,2.867451566,725.38,2.369713146,,
RMO 106,-9.223,33,24,1,1,2.708,883.7,2.886922037,755.79,2.469058285,,
RMO 114,-9.223,33,24,2,1,2.795,917.71,2.998027863,777.86,2.541157832,,
RMO 118,-9.223,33,24,3,0,2.496,828.9,2.707898242,735.26,2.401989699,,
RMO 122,-9.223,33,28,1,0,2.376,786.22,2.568468761,692.95,2.263768955,,
RMO 148,-9.223,39,20,3,0,2.624,873.5,2.85360009,783.33,2.559027543,,
RMO 171,-9.223,39,28,2,0,2.548,842.66,2.752850203,729.16,2.382061868,,
RMO 178,-9.223,39,28,3,0,2.392,802.53,2.621751208,703.04,2.296731548,,
RMO 181,-9.223,41,20,1,0,2.881,970.96,3.171988029,863.74,2.82171556,,
RMO 187,-9.223,41,20,2,0,2.896,964.49,3.150851461,827.23,2.70244259,,
RMO 192,-9.223,41,20,3,1,2.703,884.92,2.890907604,724.49,2.366805643,,
RMO 194,-9.223,41,20,3,1,2.62,851.62,2.782121246,708.26,2.313784545,,
