Code	Biome	State	Latitude	Locality	Family	Temp	Well	Sex
RMO 503	Amazon	Rondonia	-9.223	RMO	36	A	2	F
RMO 504	Amazon	Rondonia	-9.223	RMO	36	A	2	M
RMO 505	Amazon	Rondonia	-9.223	RMO	36	A	2	F
RMO 507	Amazon	Rondonia	-9.223	RMO	36	A	3	F
RMO 513	Amazon	Rondonia	-9.223	RMO	36	B	1	F
RMO 518	Amazon	Rondonia	-9.223	RMO	36	B	2	M
RMO 520	Amazon	Rondonia	-9.223	RMO	36	B	2	F
RMO 521	Amazon	Rondonia	-9.223	RMO	36	B	3	M
RMO 536	Amazon	Rondonia	-9.223	RMO	36	C	3	M
RMO 537	Amazon	Rondonia	-9.223	RMO	36	C	3	F
RMO 538	Amazon	Rondonia	-9.223	RMO	36	C	3	F
RMO 539	Amazon	Rondonia	-9.223	RMO	36	C	3	M
RMO 541	Amazon	Rondonia	-9.223	RMO	42	A	1	M
RMO 542	Amazon	Rondonia	-9.223	RMO	42	A	1	F
RMO 543	Amazon	Rondonia	-9.223	RMO	42	A	1	F
RMO 546	Amazon	Rondonia	-9.223	RMO	42	A	2	M
RMO 554	Amazon	Rondonia	-9.223	RMO	42	A	3	F
RMO 557	Amazon	Rondonia	-9.223	RMO	42	B	1	F
RMO 561	Amazon	Rondonia	-9.223	RMO	42	B	2	F
RMO 562	Amazon	Rondonia	-9.223	RMO	42	B	2	M
RMO 571	Amazon	Rondonia	-9.223	RMO	42	C	1	F
RMO 573	Amazon	Rondonia	-9.223	RMO	42	C	1	F
RMO 596	Amazon	Rondonia	-9.223	RMO	13	A	3	M
RMO 598	Amazon	Rondonia	-9.223	RMO	13	A	3	F
RMO 602	Amazon	Rondonia	-9.223	RMO	13	B	1	F
RMO 603	Amazon	Rondonia	-9.223	RMO	13	B	1	F
RMO 605	Amazon	Rondonia	-9.223	RMO	13	B	1	F
RMO 611	Amazon	Rondonia	-9.223	RMO	13	B	3	F
RMO 625	Amazon	Rondonia	-9.223	RMO	13	C	2	M
RMO 629	Amazon	Rondonia	-9.223	RMO	13	C	3	F
RMO 639	Amazon	Rondonia	-9.223	RMO	17	A	2	M
RMO 641	Amazon	Rondonia	-9.223	RMO	17	A	3	F
RMO 646	Amazon	Rondonia	-9.223	RMO	17	B	1	M
RMO 653	Amazon	Rondonia	-9.223	RMO	17	B	2	M
RMO 656	Amazon	Rondonia	-9.223	RMO	17	B	3	M
RMO 657	Amazon	Rondonia	-9.223	RMO	17	B	3	M
RMO 659	Amazon	Rondonia	-9.223	RMO	17	B	3	F
RMO 663	Amazon	Rondonia	-9.223	RMO	17	C	1	F
RMO 671	Amazon	Rondonia	-9.223	RMO	17	C	3	M
RMO 674	Amazon	Rondonia	-9.223	RMO	17	C	3	F
RMO 682	Amazon	Rondonia	-9.223	RMO	5	A	2	F
RMO 691	Amazon	Rondonia	-9.223	RMO	5	B	1	F
RMO 694	Amazon	Rondonia	-9.223	RMO	5	B	1	F
RMO 696	Amazon	Rondonia	-9.223	RMO	5	B	2	F
RMO 700	Amazon	Rondonia	-9.223	RMO	5	B	2	M
RMO 701	Amazon	Rondonia	-9.223	RMO	5	B	3	F
RMO 702	Amazon	Rondonia	-9.223	RMO	5	B	3	F
RMO 707	Amazon	Rondonia	-9.223	RMO	5	C	1	M
RMO 708	Amazon	Rondonia	-9.223	RMO	5	C	1	M
RMO 709	Amazon	Rondonia	-9.223	RMO	5	C	1 .	M
RMO 712	Amazon	Rondonia	-9.223	RMO	5	C	2	M
RMO 716	Amazon	Rondonia	-9.223	RMO	5	C	3	F
RPV 095	Amazon	Rondonia	-8.742	RPV	11	A	1	M
RPV 103	Amazon	Rondonia	-8.742	RPV	11	A	2	F
RPV 116	Amazon	Rondonia	-8.742	RPV	11	B	2	M
RPV 119	Amazon	Rondonia	-8.742	RPV	11	B	2	F
RPV 123	Amazon	Rondonia	-8.742	RPV	11	B	3	F
RPV 125	Amazon	Rondonia	-8.742	RPV	11	C	1	M
RPV 142	Amazon	Rondonia	-8.742	RPV	23	A	1	M
RPV 147	Amazon	Rondonia	-8.742	RPV	23	A	2	M
RPV 156	Amazon	Rondonia	-8.742	RPV	23	B	1	M
