"","Code","Biome","State","Latitude","Locality","Family","Temp","Well","Sex","Wing.length..mm."
"265","RMO 080","Amazon","Rondonia",-9.223,"RMO",26,"C","1","M",2.486
"266","RMO 084","Amazon","Rondonia",-9.223,"RMO",26,"C","2","F",2.751
"267","RMO 085","Amazon","Rondonia",-9.223,"RMO",26,"C","2","M",2.612
"268","RMO 093","Amazon","Rondonia",-9.223,"RMO",33,"A","1","M",2.834
"269","RMO 098","Amazon","Rondonia",-9.223,"RMO",33,"A",". 2","F",2.781
"270","RMO 099","Amazon","Rondonia",-9.223,"RMO",33,"A","2","F",2.85
"271","RMO 101","Amazon","Rondonia",-9.223,"RMO",33,"A","3","M",2.709
"272","RMO 106","Amazon","Rondonia",-9.223,"RMO",33,"B","1","M",2.708
"273","RMO 114","Amazon","Rondonia",-9.223,"RMO",33,"B","2","M",2.795
"274","RMO 118","Amazon","Rondonia",-9.223,"RMO",33,"B","3","F",2.496
"275","RMO 122","Amazon","Rondonia",-9.223,"RMO",33,"C","1","F",2.376
"276","RMO 148","Amazon","Rondonia",-9.223,"RMO",39,"A","3","F",2.624
"277","RMO 171","Amazon","Rondonia",-9.223,"RMO",39,"C","2","F",2.548
"278","RMO 178","Amazon","Rondonia",-9.223,"RMO",39,"C","3","F",2.392
"279","RMO 181","Amazon","Rondonia",-9.223,"RMO",41,"A","1","F",2.881
"280","RMO 187","Amazon","Rondonia",-9.223,"RMO",41,"A","2","F",2.896
"281","RMO 192","Amazon","Rondonia",-9.223,"RMO",41,"A","3","M",2.703
"282","RMO 194","Amazon","Rondonia",-9.223,"RMO",41,"A","3","M",2.62
"283","RMO 197","Amazon","Rondonia",-9.223,"RMO",41,"B","1","M",2.566605836
"284","RMO 198","Amazon","Rondonia",-9.223,"RMO",41,"B","1","M",2.773966318
"285","RMO 199","Amazon","Rondonia",-9.223,"RMO",41,"B","1","M",2.734925705
"286","RMO 205","Amazon","Rondonia",-9.223,"RMO",41,"B","2","F",2.623553374
"287","RMO 211","Amazon","Rondonia",-9.223,"RMO",41,"C","1","M",2.701253257
"288","RMO 216","Amazon","Rondonia",-9.223,"RMO",41,"C","2","M",2.46947039
"289","RMO 217","Amazon","Rondonia",-9.223,"RMO",41,"C","2","F",2.557645856
"290","RMO 219","Amazon","Rondonia",-9.223,"RMO",41,"C","2","M",2.747174379
"291","RMO 221","Amazon","Rondonia",-9.223,"RMO",41,"C","3","M",2.512826396
"292","RMO 226","Amazon","Rondonia",-9.223,"RMO",6,"A","1","M",2.969844075
"293","RMO 227","Amazon","Rondonia",-9.223,"RMO",6,"A","1","F",2.823860601
"294","RMO 231","Amazon","Rondonia",-9.223,"RMO",6,"A","2","F",2.775397177
"295","RMO 233","Amazon","Rondonia",-9.223,"RMO",6,"A","2","M",2.800080311
"296","RMO 241","Amazon","Rondonia",-9.223,"RMO",6,"B","1","F",2.721223355
"297","RMO 247","Amazon","Rondonia",-9.223,"RMO",6,"B","2","F",2.684588149
"298","RMO 258","Amazon","Rondonia",-9.223,"RMO",6,"C","1","F",2.61634041
"299","RMO 266","Amazon","Rondonia",-9.223,"RMO",6,"C","3","F",2.454920607
"300","RMO 273","Amazon","Rondonia",-9.223,"RMO",18,"A","1","M",2.955
"301","RMO 284","Amazon","Rondonia",-9.223,"RMO",18,"A","3","F",2.83
